05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-7.727400]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=54, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=664805835, winner=, cost=0.0]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: yahoo popularity: 1220314 video: 8939 text: 1211376) (publisher: wallmart popularity: 383142 video: 376790 text: 6353) (publisher: ebay popularity: 1248711 video: 8858 text: 1239854) (publisher: amazon popularity: 1222771 video: 9201 text: 1213571) (publisher: target popularity: 251114 video: 246604 text: 4511) (publisher: fox popularity: 148930 video: 144737 text: 4194))]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[54,262945,false,[]]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-7.873200]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=55, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[55,252948,false,[]]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-8.019000]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=56, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[56,242950,false,[]]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-8.164800]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=57, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=0, winner=NONE, cost=0.0]]
05/04 07:30:24 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[57,232955,false,[]]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-8.310600]]
05/04 07:30:25 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
